source,author,title,description,content,url,publishedAt,raw_text,cleaned_text,word_count,sentiment
Onefootball.com,,Juve  AC Milan: our combined legends XI,"An XI more than legendary.This evening, at 8:45 PM, Italian football dons its finest attire.Juventus hosts AC Milan in an eternal classic of Serie A, a match that, beyond the three points, evokes deca...","An XI more than legendary.
This browser is not supported, please use a different one or install the app
This evening, at 8:45 PM, Italian football dons its finest attire.
Juventus hosts AC Milan i… [+705 chars]",https://onefootball.com/en/news/juve-ac-milan-our-combined-legends-xi-41764888,2025-10-05T14:11:00Z,"Juve  AC Milan: our combined legends XI An XI more than legendary.This evening, at 8:45 PM, Italian football dons its finest attire.Juventus hosts AC Milan in an eternal classic of Serie A, a match that, beyond the three points, evokes deca... An XI more than legendary.
This browser is not supported, please use a different one or install the app
This evening, at 8:45 PM, Italian football dons its finest attire.
Juventus hosts AC Milan i… [+705 chars]",juve ac milan combined legends xi xi legendary evening pm italian football dons finest attire juventus hosts ac milan eternal classic serie match beyond three points evokes deca xi legendary browser supported please use different one install app evening pm italian football dons finest attire juventus hosts ac milan chars,50,positive
USA Today,"Christopher Cann, USA TODAY",Border Patrol agents shoot woman accused of ramming car into ICE vehicles in Chicago,Federal agents shot a woman they say was armed and rammed her car into vehicles used by Immigration and Customs Enforcement agents in Chicago.,"Border Patrol agents in Chicago shot an armed woman after she and a group of people allegedly rammed their cars into vehicles used by U.S. Immigration and Customs Enforcement agents, as protests inte… [+3426 chars]",https://www.usatoday.com/story/news/nation/2025/10/05/chicago-shooting-protests-broadview-ice/86535431007/,2025-10-05T14:06:15Z,"Border Patrol agents shoot woman accused of ramming car into ICE vehicles in Chicago Federal agents shot a woman they say was armed and rammed her car into vehicles used by Immigration and Customs Enforcement agents in Chicago. Border Patrol agents in Chicago shot an armed woman after she and a group of people allegedly rammed their cars into vehicles used by U.S. Immigration and Customs Enforcement agents, as protests inte… [+3426 chars]",border patrol agents shoot woman accused ramming car ice vehicles chicago federal agents shot woman say armed rammed car vehicles used immigration customs enforcement agents chicago border patrol agents chicago shot armed woman group people allegedly rammed cars vehicles used u immigration customs enforcement agents protests inte chars,48,neutral
Kuriositas.com,noreply@blogger.com (Admin),S.A.M. - Short Film,"The SEO of a tech company, Andrew Roth (played here by Ryan
Siegel and reminiscent of Boy Kavalier in the recent Alien: Earth) is getting
impatient.  His aim is to replace
creatives in the TV and film industry with Simulated Acting Modules, replete
with artif…","The SEO of a tech company, Andrew Roth (played here by Ryan
Siegel and reminiscent of Boy Kavalier in the recent Alien: Earth) is getting
impatient.  His aim is to replace
creatives in the TV and … [+755 chars]",https://www.kuriositas.com/2025/10/sam-short-film.html,2025-10-05T14:04:00Z,"S.A.M. - Short Film The SEO of a tech company, Andrew Roth (played here by Ryan
Siegel and reminiscent of Boy Kavalier in the recent Alien: Earth) is getting
impatient.  His aim is to replace
creatives in the TV and film industry with Simulated Acting Modules, replete
with artif… The SEO of a tech company, Andrew Roth (played here by Ryan
Siegel and reminiscent of Boy Kavalier in the recent Alien: Earth) is getting
impatient.  His aim is to replace
creatives in the TV and … [+755 chars]",short film seo tech company andrew roth played ryan siegel reminiscent boy kavalier recent alien earth getting impatient aim replace creatives tv film industry simulated acting modules replete artif seo tech company andrew roth played ryan siegel reminiscent boy kavalier recent alien earth getting impatient aim replace creatives tv chars,50,neutral
Yahoo Entertainment,David Marino and Yvonne Yue Li,Traders Pay Steeper Price to Hedge Risk From Stocks to Gold,The narrow ranges — and rising risk premium — can be pinned on different factors depending on the market.  “Fixed-strike volatility has actually increased...,"Risk premiums have increased since early September as a function of gold breaking fresh records.
(Bloomberg) -- The risk premium for options is rising in assets from stocks to gold, even as implied … [+4188 chars]",https://finance.yahoo.com/news/traders-pay-steeper-price-hedge-140000472.html,2025-10-05T14:00:00Z,"Traders Pay Steeper Price to Hedge Risk From Stocks to Gold The narrow ranges — and rising risk premium — can be pinned on different factors depending on the market.  “Fixed-strike volatility has actually increased... Risk premiums have increased since early September as a function of gold breaking fresh records.
(Bloomberg) -- The risk premium for options is rising in assets from stocks to gold, even as implied … [+4188 chars]",traders pay steeper price hedge risk stocks gold narrow ranges rising risk premium pinned different factors depending market fixed strike volatility actually increased risk premiums increased since early september function gold breaking fresh records bloomberg risk premium options rising assets stocks gold even implied chars,45,neutral
Forbes,"John Tamny, Contributor, 
 John Tamny, Contributor
 https://www.forbes.com/sites/johntamny/",Sam Altman Vs. Economists And Their Central Bank Mysticism,The Fed is not the proverbial crossing guard on the matter of economic growth.,"TOKYO, JAPAN - FEBRUARY 3: Open AI CEO Sam Altman speaks during a talk session with SoftBank Group CEO Masayoshi Son at an event titled ""Transforming Business through AI"" in Tokyo, Japan, on February… [+3636 chars]",https://www.forbes.com/sites/johntamny/2025/10/05/sam-altman-vs-economists-and-their-central-bank-mysticism/,2025-10-05T14:00:00Z,"Sam Altman Vs. Economists And Their Central Bank Mysticism The Fed is not the proverbial crossing guard on the matter of economic growth. TOKYO, JAPAN - FEBRUARY 3: Open AI CEO Sam Altman speaks during a talk session with SoftBank Group CEO Masayoshi Son at an event titled ""Transforming Business through AI"" in Tokyo, Japan, on February… [+3636 chars]",sam altman vs economists central bank mysticism fed proverbial crossing guard matter economic growth tokyo japan february open ai ceo sam altman speaks talk session softbank group ceo masayoshi son event titled transforming business ai tokyo japan february chars,39,neutral
Al Jazeera English,Faisal Ali,Five killed across Ukraine in overnight Russian attacks,"Moscow has stepped up its attacks in recent weeks, particularly on Ukraine's energy grid and gas production sites.","Five people have been killed in Ukraine after Russia launched hundreds of drones and missiles across the country overnight, which officials said targeted civilian infrastructure.
Ukraines President … [+4878 chars]",https://www.aljazeera.com/news/2025/10/5/five-killed-across-ukraine-in-overnight-russian-attacks,2025-10-05T13:58:04Z,"Five killed across Ukraine in overnight Russian attacks Moscow has stepped up its attacks in recent weeks, particularly on Ukraine's energy grid and gas production sites. Five people have been killed in Ukraine after Russia launched hundreds of drones and missiles across the country overnight, which officials said targeted civilian infrastructure.
Ukraines President … [+4878 chars]",five killed across ukraine overnight russian attacks moscow stepped attacks recent weeks particularly ukraine energy grid gas production sites five people killed ukraine russia launched hundreds drones missiles across country overnight officials said targeted civilian infrastructure ukraines president chars,39,neutral
CBS News,David  Martin,AI in the military: Testing a new kind of air force,"Preparing for the threats of tomorrow, the U.S. Air Force is testing drones piloted by artificial intelligence alongside aircraft flown by humans – and is teaching AI how to fight, a potential revolution in warfare.","At Eglin Air Force Base in Florida, a test bed for a new kind of air force, Major Trent McMullen is a fighter pilot learning to fly alongside the XQ-58, a drone piloted by artificial intelligence. Th… [+6406 chars]",https://www.cbsnews.com/news/ai-in-the-military-testing-a-new-kind-of-air-force/,2025-10-05T13:57:44Z,"AI in the military: Testing a new kind of air force Preparing for the threats of tomorrow, the U.S. Air Force is testing drones piloted by artificial intelligence alongside aircraft flown by humans – and is teaching AI how to fight, a potential revolution in warfare. At Eglin Air Force Base in Florida, a test bed for a new kind of air force, Major Trent McMullen is a fighter pilot learning to fly alongside the XQ-58, a drone piloted by artificial intelligence. Th… [+6406 chars]",ai military testing new kind air force preparing threats tomorrow u air force testing drones piloted artificial intelligence alongside aircraft flown humans teaching ai fight potential revolution warfare eglin air force base florida test bed new kind air force major trent mcmullen fighter pilot learning fly alongside xq drone piloted artificial intelligence th chars,54,neutral
CBS Sports,Daniel Kohn,"Self-learning AI reveals NFL against the spread, over/under and money-line picks for every Week 5, 2025 game","SportsLine AI evaluated the Week 5 NFL odds and revealed its NFL predictions, NFL score predictions and NFL betting picks for every game","The Buffalo Bills can't lock up an AFC East title quite yet, but they can go a long way in taking command of it when they meet the New England Patriots on 'Sunday Night Football' to highlight Week 5 … [+3879 chars]",https://www.cbssports.com/nfl/news/nfl-spread-picks-predictions-a-i-best-bets-week-5/,2025-10-05T13:56:20Z,"Self-learning AI reveals NFL against the spread, over/under and money-line picks for every Week 5, 2025 game SportsLine AI evaluated the Week 5 NFL odds and revealed its NFL predictions, NFL score predictions and NFL betting picks for every game The Buffalo Bills can't lock up an AFC East title quite yet, but they can go a long way in taking command of it when they meet the New England Patriots on 'Sunday Night Football' to highlight Week 5 … [+3879 chars]",self learning ai reveals nfl spread money line picks every week game sportsline ai evaluated week nfl odds revealed nfl predictions nfl score predictions nfl betting picks every game buffalo bills lock afc east title quite yet go long way taking command meet new england patriots sunday night football highlight week chars,52,negative
CBS News,CBS News,AI in the military: Testing a new kind of air force,"Preparing for the threats of tomorrow, the U.S. Air Force is drawing up plans to operate drones piloted by artificial intelligence alongside aircraft flown by humans. David Martin reports on how AI is learning how to fight – a potential revolution in warfare.",Copyright ©2025 CBS Interactive Inc. All rights reserved.,https://www.cbsnews.com/video/ai-in-the-military-testing-a-new-kind-of-air-force/,2025-10-05T13:56:00Z,"AI in the military: Testing a new kind of air force Preparing for the threats of tomorrow, the U.S. Air Force is drawing up plans to operate drones piloted by artificial intelligence alongside aircraft flown by humans. David Martin reports on how AI is learning how to fight – a potential revolution in warfare. Copyright ©2025 CBS Interactive Inc. All rights reserved.",ai military testing new kind air force preparing threats tomorrow u air force drawing plans operate drones piloted artificial intelligence alongside aircraft flown humans david martin reports ai learning fight potential revolution warfare copyright cbs interactive inc rights reserved,39,neutral
Onefootball.com,,"Bologna unstoppable: Cambiaghi, Moro, Orsolini net three, Pisa see red","At the Dall'Ara Stadium, Bologna resumes its hunt for a European spot; against Pisa, led by Alberto Gilardino, still searching for their first victory.Watch the entire Serie BKT live with LaB Channel ...","At the Dall'Ara Stadium, Bologna resumes its hunt for a European spot; against Pisa, led by Alberto Gilardino, still searching for their first victory.
Watch the entire Serie BKT live with LaB Chann… [+1114 chars]",https://onefootball.com/en/news/bologna-unstoppable-cambiaghi-moro-orsolini-net-three-pisa-see-red-41764806,2025-10-05T13:52:00Z,"Bologna unstoppable: Cambiaghi, Moro, Orsolini net three, Pisa see red At the Dall'Ara Stadium, Bologna resumes its hunt for a European spot; against Pisa, led by Alberto Gilardino, still searching for their first victory.Watch the entire Serie BKT live with LaB Channel ... At the Dall'Ara Stadium, Bologna resumes its hunt for a European spot; against Pisa, led by Alberto Gilardino, still searching for their first victory.
Watch the entire Serie BKT live with LaB Chann… [+1114 chars]",bologna unstoppable cambiaghi moro orsolini net three pisa see red dall ara stadium bologna resumes hunt european spot pisa led alberto gilardino still searching first victory watch entire serie bkt live lab channel dall ara stadium bologna resumes hunt european spot pisa led alberto gilardino still searching first victory watch entire serie bkt live lab chann chars,57,neutral
